,id,created_at,text
0,1518371157086547969,2022-04-24 23:27:48+00:00,"If you want to know how great a song “Drown In My Own Tears” is, look who covers it: Richie Havens, @jeffbeckmusic,… https://t.co/uNO5DbdJVu"
1,1518038844041441280,2022-04-24 01:27:18+00:00,Mathematics has been around for at least 4000 years and comes from antiquity. Social and Emotional Learning is abou… https://t.co/wRELekqgEN
2,1518038843009740802,2022-04-24 01:27:18+00:00,"If people want to try different psychological styles of mathematics educators over true mathematics researchers, le… https://t.co/pGayVMciBY"
3,1518038840480477184,2022-04-24 01:27:18+00:00,"A different perspective: some of us don’t want psychology, motivation, emotion, encouragement &amp; politics baked into… https://t.co/P1oaRhdoDs"
4,1517595530443993088,2022-04-22 20:05:44+00:00,@RandySchoenberg @EcoHealthNYC And I’m not pro-Trump. Not pro-ivermectin. Not anti-vaxx. Not against mandates. Not… https://t.co/fekMyMKQSE
5,1517594675581923328,2022-04-22 20:02:20+00:00,@RandySchoenberg Fauci has broken trust with many in the scientific community who are sick of his unaccountability.… https://t.co/cOZCViBXJi
6,1517594139835084800,2022-04-22 20:00:13+00:00,"@RandySchoenberg Randy, I don’t think you’re getting it. 

It’s not about wearing masks. It’s about being called ra… https://t.co/RyMX79qSCZ"
7,1517579571104665600,2022-04-22 19:02:19+00:00,"@RandySchoenberg Also, I believe public health has to be able to mandate things in an emergency. But these are exot… https://t.co/5VKar02ZR0"
8,1517578978847907840,2022-04-22 18:59:58+00:00,@RandySchoenberg I believe the CDC has exceeded its authority. NIAID has stepped into interfering with science. Etc… https://t.co/NyouaTRlH8
9,1517546183480152065,2022-04-22 16:49:39+00:00,"@RandySchoenberg I disagree. I believe in some government. But not this dumb, big, aggressive, anti-scientific sanc… https://t.co/EzgVomPFPO"
10,1517545273370701824,2022-04-22 16:46:02+00:00,"@RandySchoenberg “Idiots”, “racists” and “sexists” really had zero business being in this thread. It didn’t support… https://t.co/IRQ6NgJeu8"
11,1517540196698320897,2022-04-22 16:25:52+00:00,A more minor point: I don’t support the partisan name calling in the thread. But that is his choice to put it in. I… https://t.co/kOtVzwCiVE
12,1517539628848345089,2022-04-22 16:23:36+00:00,"Important thread by my old high school chum @RandySchoenberg. I think what divides us most is that, unlike anti-gov… https://t.co/kQQyjCp1aO"
13,1517336243792621569,2022-04-22 02:55:25+00:00,"Yes I understand he could be fired. But he has served continuously since 11/2/1984 under Reagan I, Reagan II, Bush… https://t.co/tkcLB7bqhk"
