,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,Bitcoin,BTC,"$609,409,213,147","$32,782.02","18,589,737 BTC","$78,665,235,202",-0.61%,2.04%,24.78%,
1,2,Ethereum,ETH,"$111,309,985,611",$975.51,"114,104,675 ETH","$45,200,463,368",-1.39%,25.95%,42.90%,
2,3,Tether,USDT,"$21,340,101,768",$1.00,"21,329,136,250 USDT *","$120,425,679,796",-0.01%,-0.01%,0.17%,
3,4,Litecoin,LTC,"$10,610,100,157",$160.19,"66,234,230 LTC","$15,385,661,271",1.96%,16.97%,25.62%,
4,5,XRP,XRP,"$10,254,417,777",$0.2258,"45,404,028,640 XRP *","$5,109,898,871",0.05%,1.89%,-20.21%,
5,6,Polkadot,DOT,"$8,995,148,461",$10.03,"896,530,965 DOT *","$3,032,883,074",-1.82%,8.95%,95.34%,
6,7,Bitcoin Cash,BCH,"$7,845,655,333",$421.79,"18,600,863 BCH","$7,273,123,207",2.39%,18.95%,24.72%,
7,8,Cardano,ADA,"$6,377,915,102",$0.205,"31,112,484,646 ADA","$2,303,857,909",2.21%,15.54%,32.75%,
8,9,Binance Coin,BNB,"$5,942,182,741",$41.15,"144,406,561 BNB *","$758,008,613",0.80%,7.60%,22.79%,
9,10,Chainlink,LINK,"$5,453,374,285",$13.65,"399,509,556 LINK *","$2,298,964,833",-1.95%,11.70%,12.54%,
10,11,USD Coin,USDC,"$4,208,024,428",$0.9997,"4,209,136,024 USDC *","$1,828,596,899",0.01%,-0.04%,-0.03%,
11,12,Wrapped Bitcoin,WBTC,"$3,819,401,683","$33,008.13","115,711 WBTC *","$317,864,544",-0.53%,2.62%,25.80%,
12,13,Bitcoin SV,BSV,"$3,190,473,984",$171.39,"18,615,214 BSV","$724,762,386",0.60%,5.09%,2.44%,
13,14,Stellar,XLM,"$2,989,656,211",$0.1364,"21,914,609,976 XLM *","$694,141,229",1.68%,6.73%,-5.90%,
14,15,EOS,EOS,"$2,625,024,379",$2.80,"939,168,384 EOS *","$4,016,977,942",0.11%,6.42%,2.96%,
15,16,Monero,XMR,"$2,458,046,205",$138.06,"17,803,618 XMR","$1,234,835,529",-0.57%,-3.53%,-12.21%,
16,17,THETA,THETA,"$2,121,383,112",$2.12,"1,000,000,000 THETA *","$216,740,061",-2.52%,-11.62%,57.58%,
17,18,TRON,TRX,"$2,113,567,007",$0.02949,"71,659,657,369 TRX *","$1,496,675,629",0.31%,8.36%,2.25%,
18,19,NEM,XEM,"$1,894,334,538",$0.2105,"8,999,999,999 XEM *","$156,961,704",0.58%,3.58%,-10.78%,
19,20,VeChain,VET,"$1,667,128,429",$0.02592,"64,315,576,989 VET *","$697,803,740",3.13%,29.70%,57.11%,
20,21,Tezos,XTZ,"$1,611,874,060",$2.13,"755,572,865 XTZ *","$312,112,832",0.48%,6.74%,6.61%,
21,22,Celsius,CEL,"$1,550,137,281",$6.49,"238,863,520 CEL *","$30,908,871",-0.16%,8.17%,52.47%,
22,23,Uniswap,UNI,"$1,465,283,748",$5.45,"269,005,936 UNI *","$2,184,123,153",1.86%,12.42%,51.53%,
23,24,UNUS SED LEO,LEO,"$1,352,249,983",$1.35,"999,498,893 LEO *","$10,087,327",-0.02%,-0.27%,-0.20%,
24,25,Crypto.com Coin,CRO,"$1,344,967,496",$0.05976,"22,505,022,830 CRO *","$64,754,574",-0.55%,-3.32%,5.08%,
25,26,Dogecoin,DOGE,"$1,248,577,459",$0.009771,"127,790,242,601 DOGE","$2,707,003,608",-2.54%,-7.95%,114.84%,
26,27,Cosmos,ATOM,"$1,210,730,092",$5.81,"208,247,565 ATOM *","$525,732,596",0.91%,7.37%,20.44%,
27,28,Dai,DAI,"$1,225,566,701",$1.00,"1,223,855,384 DAI *","$537,297,796",0.00%,0.05%,-0.15%,
28,29,Binance USD,BUSD,"$1,157,897,749",$0.9999,"1,158,013,550 BUSD *","$2,762,332,407",0.00%,0.01%,-0.11%,
29,30,Neo,NEO,"$1,125,832,593",$15.96,"70,538,831 NEO *","$644,824,666",1.61%,10.55%,5.73%,
30,31,Aave,AAVE,"$1,097,389,994",$91.10,"12,046,436 AAVE *","$298,884,107",0.15%,6.28%,18.36%,
31,32,Synthetix,SNX,"$1,047,398,233",$9.48,"110,519,345 SNX *","$155,007,357",0.84%,15.81%,17.91%,
32,33,Revain,REV,"$990,994,030",$0.01165,"85,061,485,690 REV *","$7,100,386",-0.08%,-0.10%,0.11%,
33,34,Huobi Token,HT,"$980,332,093",$4.90,"200,076,194 HT *","$224,149,934",-0.86%,1.03%,22.17%,
34,35,Filecoin,FIL,"$955,278,056",$21.43,"44,584,205 FIL","$272,432,560",-0.02%,-1.75%,-3.78%,
35,36,Dash,DASH,"$882,036,804",$89.07,"9,902,833 DASH","$724,060,416",0.48%,2.41%,-17.04%,
36,37,IOTA,MIOTA,"$860,234,816",$0.3095,"2,779,530,283 MIOTA *","$36,641,056",0.90%,8.13%,3.83%,
37,38,Ethereum Classic,ETC,"$762,713,768",$6.56,"116,313,299 ETC","$1,377,349,497",-0.15%,13.40%,12.92%,
38,39,Zilliqa,ZIL,"$734,455,059",$0.06795,"10,808,096,904 ZIL","$296,839,779",-1.46%,-6.53%,-11.11%,
39,40,yearn.finance,YFI,"$710,506,937","$23,708.23","29,969 YFI *","$629,625,452",1.65%,10.25%,4.10%,
40,41,Maker,MKR,"$676,648,941",$678.72,"996,951 MKR *","$110,201,825",-0.78%,11.39%,20.26%,
41,42,FTX Token,FTT,"$653,255,344",$6.92,"94,346,958 FTT *","$31,046,653",-0.95%,11.68%,34.68%,
42,43,Compound,COMP,"$646,224,974",$146.20,"4,420,118 COMP *","$164,874,016",-1.16%,6.94%,11.33%,
43,44,Zcash,ZEC,"$641,512,542",$59.22,"10,832,169 ZEC","$663,264,324",0.00%,2.45%,-12.45%,
44,45,SushiSwap,SUSHI,"$617,734,419",$3.44,"179,520,219 SUSHI *","$410,863,381",-0.89%,7.67%,31.09%,
45,46,Kusama,KSM,"$614,696,239",$72.57,"8,470,098 KSM *","$105,899,926",-0.21%,5.26%,44.23%,
46,47,Decred,DCR,"$597,289,952",$48.00,"12,443,439 DCR","$18,473,383",-3.84%,5.50%,23.30%,
47,48,Waves,WAVES,"$573,198,199",$5.51,"103,969,444 WAVES *","$162,970,642",-1.85%,-1.01%,-13.76%,
48,49,Algorand,ALGO,"$506,613,483",$0.4228,"1,198,328,524 ALGO","$263,098,398",2.96%,3.60%,32.48%,
49,50,UMA,UMA,"$471,900,533",$8.50,"55,506,671 UMA *","$18,650,713",-0.01%,2.92%,7.58%,
50,51,OKB,OKB,"$453,106,267",$7.55,"60,000,000 OKB *","$385,009,076",-0.67%,-9.40%,15.15%,
51,52,DigiByte,DGB,"$451,812,175",$0.03249,"13,905,502,557 DGB","$63,537,011",4.31%,15.34%,22.08%,
52,53,OMG Network,OMG,"$426,574,507",$3.04,"140,245,398 OMG *","$325,168,905",10.86%,21.69%,16.81%,
53,54,renBTC,RENBTC,"$415,451,404","$32,915.28","12,622 RENBTC *","$58,942,013",-0.94%,2.36%,25.31%,
54,55,Ontology,ONT,"$402,724,717",$0.5006,"804,535,798 ONT *","$131,479,263",1.10%,7.77%,11.33%,
55,56,Elrond,EGLD,"$399,355,180",$27.16,"14,705,573 EGLD *","$51,460,188",0.59%,4.89%,24.39%,
56,57,The Graph,GRT,"$369,564,934",$0.2967,"1,245,666,867 GRT *","$196,258,222",-1.94%,-9.35%,-25.10%,
57,58,Nexo,NEXO,"$341,546,762",$0.6099,"560,000,011 NEXO *","$16,502,637",-1.20%,-5.97%,6.72%,
58,59,Blockstack,STX,"$342,144,899",$0.4807,"711,834,032 STX *","$168,850",0.12%,5.36%,16.17%,
59,60,Basic Attention Token,BAT,"$323,205,024",$0.2165,"1,493,080,869 BAT *","$186,119,340",0.70%,6.10%,3.75%,
60,61,Loopring,LRC,"$327,674,368",$0.2725,"1,202,678,646 LRC *","$73,010,484",12.76%,55.51%,68.64%,
61,62,Terra,LUNA,"$321,266,937",$0.6619,"485,374,790 LUNA *","$32,764,781",0.20%,4.83%,19.94%,
62,63,BitTorrent,BTT,"$310,193,851",$0.0003133,"989,977,879,399 BTT *","$126,832,149",-0.50%,-7.18%,5.45%,
63,64,Reserve Rights,RSR,"$305,424,450",$0.03267,"9,349,999,000 RSR *","$343,216,639",-3.78%,12.61%,86.10%,
64,65,Ren,REN,"$294,686,304",$0.3332,"884,532,525 REN *","$82,186,903",-0.59%,6.71%,18.77%,
65,66,0x,ZRX,"$294,490,418",$0.3928,"749,772,094 ZRX *","$82,502,316",3.17%,8.99%,5.20%,
66,67,NEAR Protocol,NEAR,"$289,994,370",$1.47,"196,911,019 NEAR *","$39,055,507",0.02%,4.47%,23.20%,
67,68,ICON,ICX,"$281,034,731",$0.4847,"579,802,910 ICX *","$59,941,123",2.08%,11.90%,20.73%,
68,69,TrueUSD,TUSD,"$274,948,840",$0.9997,"275,031,537 TUSD *","$138,413,556",-0.05%,-0.06%,-0.01%,
69,70,Avalanche,AVAX,"$267,198,080",$3.47,"76,937,055 AVAX *","$36,997,985",0.20%,-0.63%,19.50%,
70,71,Ampleforth,AMPL,"$254,235,433",$1.19,"213,623,916 AMPL *","$26,852,928",-0.23%,17.00%,26.71%,
71,72,Paxos Standard,PAX,"$244,621,384",$0.9987,"244,951,954 PAX *","$158,491,598",-0.22%,-0.22%,-0.06%,
72,73,Qtum,QTUM,"$240,450,738",$2.47,"97,526,532 QTUM *","$399,600,228",2.77%,9.45%,8.48%,
73,74,SwissBorg,CHSB,"$239,567,854",$0.2569,"932,687,845 CHSB *","$4,378,738",-1.99%,6.60%,-0.47%,
74,75,THORChain,RUNE,"$234,709,777",$1.48,"158,432,088 RUNE *","$31,466,417",-1.12%,14.54%,65.56%,
75,76,Nano,NANO,"$225,319,411",$1.69,"133,248,297 NANO *","$87,271,356",-0.90%,61.16%,51.85%,
76,77,Hedera Hashgraph,HBAR,"$223,439,067",$0.03305,"6,760,905,982 HBAR *","$10,157,190",-1.25%,-0.58%,3.88%,
77,78,Siacoin,SC,"$216,701,086",$0.004788,"45,255,832,992 SC","$185,607,906",2.32%,5.05%,42.98%,
78,79,HUSD,HUSD,"$197,568,936",$0.9989,"197,784,045 HUSD *","$109,040,199",-0.07%,0.03%,-0.28%,
79,80,Energy Web Token,EWT,"$189,837,823",$6.31,"30,062,138 EWT *","$711,721",-0.64%,-1.00%,-4.10%,
80,81,Augur,REP,"$186,281,303",$16.93,"11,000,000 REP *","$20,810,531",-0.13%,2.20%,9.20%,
81,82,TerraUSD,UST,"$182,900,503",$0.9989,"183,096,546 UST *","$9,128,283",-0.28%,-0.07%,-0.08%,
82,83,ABBC Coin,ABBC,"$179,837,130",$0.2133,"842,945,736 ABBC","$30,862,761",-1.68%,-3.59%,4.02%,
83,84,Celo,CELO,"$179,453,098",$1.44,"124,447,717 CELO *","$3,813,417",0.76%,0.58%,-3.44%,
84,85,Kyber Network,KNC,"$166,419,869",$0.8286,"200,842,421 KNC *","$44,341,281",2.06%,5.27%,2.14%,
85,86,NXM,NXM,"$166,339,881",$28.67,"5,801,350 NXM *","$19,189,737",-3.65%,10.58%,46.13%,
86,87,Ocean Protocol,OCEAN,"$165,526,035",$0.395,"419,026,837 OCEAN *","$47,431,519",-1.83%,19.47%,20.82%,
87,88,Theta Fuel,TFUEL,"$158,547,289",$0.03195,"4,962,631,792 TFUEL *","$16,841,955",-1.81%,-14.78%,17.97%,
88,89,Lisk,LSK,"$153,533,474",$1.21,"126,835,331 LSK *","$6,105,452",2.15%,4.34%,0.77%,
89,90,Bitcoin Gold,BTG,"$156,179,906",$8.92,"17,513,924 BTG","$16,136,556",0.16%,4.86%,2.29%,
90,91,Verge,XVG,"$155,725,025",$0.009488,"16,413,535,743 XVG","$25,034,768",-0.01%,28.17%,21.04%,
91,92,HedgeTrade,HEDG,"$153,600,741",$0.4528,"339,231,468 HEDG *","$243,834",1.59%,-1.76%,-3.05%,
92,93,Horizen,ZEN,"$142,151,842",$13.39,"10,614,469 ZEN","$21,799,584",-1.15%,14.11%,6.78%,
93,94,Band Protocol,BAND,"$137,608,362",$6.71,"20,494,033 BAND *","$148,338,974",-1.36%,11.35%,24.45%,
94,95,MaidSafeCoin,MAID,"$137,497,428",$0.3038,"452,552,412 MAID *","$1,126,156",-0.58%,-0.11%,-0.41%,
95,96,Bancor,BNT,"$133,939,953",$1.39,"96,070,584 BNT *","$40,126,924",-1.40%,8.97%,9.25%,
96,97,Quant,QNT,"$130,584,902",$10.82,"12,072,738 QNT *","$2,929,901",-4.07%,-9.47%,-6.23%,
97,98,Holo,HOT,"$125,917,760",$0.0007529,"167,249,427,985 HOT *","$46,271,740",-0.82%,-6.12%,27.92%,
98,99,ZB Token,ZB,"$126,395,855",$0.2728,"463,288,810 ZB *","$15,882,964",1.10%,1.68%,4.20%,
99,100,Gnosis,GNO,"$125,914,489",$83.69,"1,504,589 GNO *","$2,590,351",0.46%,17.00%,18.34%,
100,101,CyberVein,CVT,"$123,133,566",$0.1161,"1,060,404,496 CVT *","$6,209,924",0.00%,-2.04%,-6.55%,
101,102,Status,SNT,"$121,312,363",$0.03496,"3,470,483,788 SNT *","$19,569,362",0.73%,13.10%,13.81%,
102,103,Aragon,ANT,"$121,175,914",$3.06,"39,609,523 ANT *","$18,935,376",0.19%,-1.33%,5.33%,
103,104,Decentraland,MANA,"$120,814,040",$0.08142,"1,483,772,848 MANA *","$30,341,187",1.05%,2.35%,0.90%,
104,105,Enjin Coin,ENJ,"$111,434,748",$0.1354,"823,130,411 ENJ *","$12,845,689",-0.01%,2.54%,-1.21%,
105,106,Balancer,BAL,"$107,974,738",$15.55,"6,943,831 BAL *","$76,106,641",-0.67%,6.48%,19.14%,
106,107,Ravencoin,RVN,"$109,864,694",$0.01403,"7,833,240,000 RVN","$16,630,772",0.33%,7.38%,6.16%,
107,108,Curve DAO Token,CRV,"$104,403,922",$0.6723,"155,297,961 CRV *","$68,729,992",4.09%,9.46%,42.72%,
108,109,Numeraire,NMR,"$106,393,984",$23.82,"4,465,650 NMR *","$10,796,654",0.75%,5.55%,1.46%,
109,110,Chiliz,CHZ,"$106,056,605",$0.01953,"5,429,628,749 CHZ *","$65,270,057",-0.04%,0.68%,-18.21%,
110,111,RSK Infrastructure Framework,RIF,"$105,495,030",$0.1557,"677,726,677 RIF *","$2,446,068",-0.55%,-3.91%,1.90%,
111,112,Solana,SOL,"$100,672,675",$2.16,"46,569,948 SOL *","$55,073,422",4.24%,20.15%,65.90%,
112,113,Matic Network,MATIC,"$96,120,900",$0.01998,"4,812,024,448 MATIC *","$17,908,526",0.17%,4.89%,9.15%,
113,114,MonaCoin,MONA,"$96,485,181",$1.47,"65,729,675 MONA","$15,739,521",3.31%,8.43%,7.33%,
114,115,Bitcoin Diamond,BCD,"$94,392,745",$0.5061,"186,492,898 BCD","$3,897,282",1.42%,5.20%,5.15%,
115,116,Nervos Network,CKB,"$91,871,455",$0.003922,"23,426,055,125 CKB *","$4,678,617",1.71%,-0.66%,-1.96%,
116,117,DxChain Token,DX,"$90,049,699",$0.001801,"50,000,000,000 DX *","$160,258",-0.95%,5.51%,47.52%,
117,118,IOST,IOST,"$87,598,796",$0.005716,"15,324,121,695 IOST *","$37,439,362",0.70%,1.65%,-1.21%,
118,119,Arweave,AR,"$85,937,784",$2.57,"33,394,701 AR *","$3,844,010",-1.01%,-3.55%,14.21%,
119,120,Kin,KIN,"$85,778,712",$0.0000565,"1,518,114,145,968 KIN *","$510,155",-0.49%,0.72%,-1.80%,
120,121,Orchid,OXT,"$84,970,406",$0.2312,"367,584,352 OXT *","$11,985,900",2.09%,-0.57%,-2.78%,
121,122,Bytom,BTM,"$84,521,689",$0.06042,"1,398,894,944 BTM","$17,511,704",1.74%,5.56%,8.41%,
122,123,Helium,HNT,"$83,964,728",$1.31,"64,154,797 HNT","$1,182,059",0.20%,1.42%,-2.22%,
123,124,1inch,1INCH,"$78,968,434",$1.09,"72,164,169 1INCH *","$78,903,254",-2.84%,6.39%,3.03%,
124,125,Unibright,UBT,"$78,960,146",$0.5306,"148,799,999 UBT *","$1,932,621",-0.88%,16.27%,12.63%,
125,126,Ardor,ARDR,"$78,415,183",$0.07849,"998,999,495 ARDR *","$7,158,772",3.65%,0.78%,18.41%,
126,127,PAX Gold,PAXG,"$77,256,294","$1,961.23","39,392 PAXG *","$4,404,860",0.56%,0.04%,1.80%,
127,128,Kleros,PNK,"$74,882,995",$0.1252,"598,279,012 PNK *","$3,023,414",-0.28%,11.41%,11.45%,
128,129,BitShares,BTS,"$73,135,539",$0.02442,"2,994,830,000 BTS *","$37,268,134",3.04%,6.79%,9.33%,
129,130,Golem,GNT,"$69,526,016",$0.1073,"648,010,861 GNT *","$1,740,325",-1.28%,0.03%,-3.41%,
130,131,Divi,DIVI,"$69,071,765",$0.03322,"2,079,314,192 DIVI","$287,645",-0.65%,-2.60%,29.86%,
131,132,Syntropy,NOIA,"$69,619,462",$0.2166,"321,395,830 NOIA *","$1,613,662",1.63%,12.16%,-3.95%,
132,133,Storj,STORJ,"$67,439,688",$0.3121,"216,098,645 STORJ *","$22,300,071",1.30%,6.23%,5.50%,
133,134,Injective Protocol,INJ,"$66,347,600",$4.42,"15,000,178 INJ *","$26,169,663",-0.27%,22.90%,-7.67%,
134,135,Kava.io,KAVA,"$64,174,248",$1.37,"46,876,230 KAVA *","$19,921,664",-1.42%,5.74%,6.45%,
135,136,Swipe,SXP,"$64,543,687",$0.769,"83,936,975 SXP *","$72,381,623",1.81%,3.03%,14.64%,
136,137,Utrust,UTK,"$65,936,178",$0.1465,"449,981,000 UTK *","$5,693,438",-1.55%,22.20%,22.96%,
137,138,Steem,STEEM,"$65,503,998",$0.1658,"395,162,496 STEEM *","$4,827,646",2.01%,-0.07%,3.92%,
138,139,Velas,VLX,"$64,829,169",$0.03078,"2,106,296,362 VLX *","$1,176,874",-0.26%,2.48%,34.52%,
139,140,iExec RLC,RLC,"$63,131,195",$0.7884,"80,070,793 RLC *","$3,705,829",1.35%,10.57%,-1.13%,
140,141,TrustSwap,SWAP,"$64,020,967",$0.905,"70,744,745 SWAP *","$1,921,925",0.11%,48.43%,97.99%,
141,142,TomoChain,TOMO,"$62,542,812",$0.8174,"76,515,850 TOMO","$20,649,888",1.07%,16.51%,18.91%,
142,143,DFI.Money,YFII,"$61,953,514","$1,605.18","38,596 YFII *","$103,141,006",0.12%,8.79%,17.18%,
143,144,Oasis Network,ROSE,"$61,813,988",$0.04121,"1,500,000,000 ROSE *","$5,652,873",-5.20%,0.84%,-4.40%,
144,145,Civic,CVC,"$58,961,444",$0.088,"670,000,000 CVC *","$20,418,674",1.66%,2.79%,1.15%,
145,146,Komodo,KMD,"$59,308,484",$0.4803,"123,470,880 KMD","$2,116,876",0.61%,0.79%,-9.78%,
146,147,Serum,SRM,"$59,350,766",$1.19,"50,000,000 SRM *","$42,508,554",2.91%,12.27%,19.52%,
147,148,aelf,ELF,"$57,937,509",$0.1064,"544,480,200 ELF *","$16,503,073",0.77%,-0.41%,-2.39%,
148,149,Keep3rV1,KP3R,"$58,409,807",$292.05,"200,001 KP3R *","$21,288,362",1.79%,34.77%,-14.92%,
149,150,Ankr,ANKR,"$57,309,638",$0.008822,"6,496,232,711 ANKR *","$11,166,282",1.85%,2.03%,-2.85%,
150,151,KuCoin Shares,KCS,"$56,734,474",$0.7081,"80,118,638 KCS *","$7,630,158",0.35%,3.92%,4.32%,
151,152,OriginTrail,TRAC,"$54,685,325",$0.1609,"339,837,976 TRAC *","$822,710",3.64%,14.91%,-7.88%,
152,153,JUST,JST,"$54,540,456",$0.02413,"2,260,326,706 JST *","$64,565,545",0.80%,2.16%,4.08%,
153,154,FunFair,FUN,"$54,549,245",$0.00833,"6,548,879,189 FUN *","$31,489,594",-2.57%,50.26%,133.34%,
154,155,LBRY Credits,LBC,"$55,836,493",$0.108,"516,982,288 LBC","$64,648,086",1.69%,7.47%,107.69%,
155,156,Polymath,POLY,"$54,133,754",$0.09742,"555,670,901 POLY *","$2,303,613",4.55%,6.74%,21.61%,
156,157,Uquid Coin,UQC,"$52,327,944",$5.23,"10,000,000 UQC *","$7,323,400",-9.69%,2.45%,73.08%,
157,158,WAX,WAXP,"$52,256,584",$0.03551,"1,471,780,469 WAXP *","$740,769",0.53%,-3.02%,-2.07%,
158,159,Wanchain,WAN,"$51,588,549",$0.3052,"169,028,581 WAN *","$2,474,620",-0.70%,1.02%,-15.55%,
159,160,Alpha Finance Lab,ALPHA,"$49,938,363",$0.2868,"174,136,442 ALPHA *","$44,645,302",-0.45%,21.84%,64.55%,
160,161,Electroneum,ETN,"$48,560,310",$0.00475,"10,223,240,623 ETN","$718,917",0.08%,6.78%,-3.71%,
161,162,Hive,HIVE,"$48,944,782",$0.1168,"419,085,037 HIVE *","$1,884,995",0.49%,0.23%,3.28%,
162,163,SingularityNET,AGI,"$48,110,707",$0.05639,"853,144,672 AGI *","$936,665",0.10%,14.49%,25.58%,
163,164,Fantom,FTM,"$47,895,127",$0.01882,"2,545,006,273 FTM *","$11,764,052",0.92%,14.17%,13.06%,
